Company_Name,Period,EPS,P_E,Dividend_Yield
BankA,1,8.770167,6.547427,6.1795807
BankA,2,8.8811455,6.6077733,6.226679
BankA,3,9.030219,6.688193,6.277153
BankA,4,9.212124,6.786275,6.330585
BankA,5,9.421897,6.8994126,6.3863955
BankA,6,9.654931,7.0251436,6.444008
BondF,1,7.8792143,3.9836268,9.694527
BondF,2,7.985999,4.0115047,9.827654
BondF,3,8.127483,4.040658,10.010687
BondF,4,8.297522,4.0703564,10.239096
BondF,5,8.490975,4.1000557,10.5068245
BondF,6,8.703563,4.129357,10.8081455
DebentureD,1,9.183099,5.155365,6.5259466
DebentureD,2,9.286327,5.205027,6.554645
DebentureD,3,9.422106,5.2663116,6.577593
DebentureD,4,9.582567,5.337208,6.5955734
DebentureD,5,9.762104,5.4158435,6.609348
DebentureD,6,9.956175,5.5006075,6.619599
FinanceE,1,6.1686707,7.368778,5.960577
FinanceE,2,6.2477136,7.4634485,6.0337815
FinanceE,3,6.3420854,7.5914154,6.125783
FinanceE,4,6.4487796,7.7446,6.23182
FinanceE,5,6.565132,7.917294,6.3484583
FinanceE,6,6.6889257,8.105339,6.473214
HotelC,1,5.0559053,9.470592,4.4885697
HotelC,2,5.114961,9.557575,4.53193
HotelC,3,5.1809697,9.68629,4.579384
HotelC,4,5.2521205,9.847438,4.6291065
HotelC,5,5.3269906,10.034007,4.6798253
HotelC,6,5.4044876,10.240305,4.7306633
HydroB,1,7.6598463,7.113658,6.3129096
HydroB,2,7.786193,7.160191,6.385622
HydroB,3,7.9554224,7.217957,6.476667
HydroB,4,8.15984,7.2853603,6.5823574
HydroB,5,8.39269,7.360511,6.699925
HydroB,6,8.648321,7.4416504,6.827275
InvestG,1,6.923405,7.706438,5.220138
InvestG,2,7.004093,7.7616377,5.278883
InvestG,3,7.106561,7.8336306,5.3487573
InvestG,4,7.2291636,7.9195766,5.426547
InvestG,5,7.369261,8.016697,5.50984
InvestG,6,7.5240073,8.122514,5.5969143
LifeH,1,5.939825,6.6413107,4.850598
LifeH,2,5.955919,6.71103,4.859726
LifeH,3,5.956422,6.8037086,4.855329
LifeH,4,5.945085,6.914944,4.839765
LifeH,5,5.9245734,7.041307,4.8155046
LifeH,6,5.896897,7.180009,4.7847476
TradeI,1,5.6707664,8.651967,5.0127783
TradeI,2,5.7461686,8.738883,5.064763
TradeI,3,5.835865,8.858127,5.1254926
TradeI,4,5.937336,9.004919,5.192927
TradeI,5,6.0483046,9.173915,5.265314
TradeI,6,6.1667933,9.360559,5.341227
