Company_Name,Sector,Date,EPS,P_E,Dividend_Yield
BankA,Commercial Bank,2022-01-01,3.50,12.50,4.20
BankA,Commercial Bank,2022-02-01,3.55,12.60,4.25
BankA,Commercial Bank,2022-03-01,3.60,12.70,4.30
BankA,Commercial Bank,2022-04-01,3.65,12.80,4.35
BankA,Commercial Bank,2022-05-01,3.70,12.90,4.40
BankA,Commercial Bank,2022-06-01,3.75,13.00,4.45
BankA,Commercial Bank,2022-07-01,3.80,13.10,4.50
BankA,Commercial Bank,2022-08-01,3.85,13.20,4.55
BankA,Commercial Bank,2022-09-01,3.90,13.30,4.60
BankA,Commercial Bank,2022-10-01,3.95,13.40,4.65
BankA,Commercial Bank,2022-11-01,4.00,13.50,4.70
BankA,Commercial Bank,2022-12-01,4.05,13.60,4.75
BankA,Commercial Bank,2023-01-01,4.10,13.70,4.80
BankA,Commercial Bank,2023-02-01,4.15,13.80,4.85
BankA,Commercial Bank,2023-03-01,4.20,13.90,4.90
BankA,Commercial Bank,2023-04-01,4.25,14.00,4.95
BankA,Commercial Bank,2023-05-01,4.30,14.10,5.00
BankA,Commercial Bank,2023-06-01,4.35,14.20,5.05
BankA,Commercial Bank,2023-07-01,4.40,14.30,5.10
BankA,Commercial Bank,2023-08-01,4.45,14.40,5.15
BankA,Commercial Bank,2023-09-01,4.50,14.50,5.20
BankA,Commercial Bank,2023-10-01,4.55,14.60,5.25
BankA,Commercial Bank,2023-11-01,4.60,14.70,5.30
BankA,Commercial Bank,2023-12-01,4.65,14.80,5.35
BankA,Commercial Bank,2024-01-01,4.70,14.90,5.40
BankA,Commercial Bank,2024-02-01,4.75,15.00,5.45
BankA,Commercial Bank,2024-03-01,4.80,15.10,5.50
BankA,Commercial Bank,2024-04-01,4.85,15.20,5.55
BankA,Commercial Bank,2024-05-01,4.90,15.30,5.60
BankA,Commercial Bank,2024-06-01,4.95,15.40,5.65
BankA,Commercial Bank,2024-07-01,5.00,15.50,5.70
BankA,Commercial Bank,2024-08-01,5.05,15.60,5.75
BankA,Commercial Bank,2024-09-01,5.10,15.70,5.80
BankA,Commercial Bank,2024-10-01,5.15,15.80,5.85
BankA,Commercial Bank,2024-11-01,5.20,15.90,5.90
BankA,Commercial Bank,2024-12-01,5.25,16.00,5.95
HydroB,Hydropower,2022-01-01,2.80,15.00,3.80
HydroB,Hydropower,2022-02-01,2.85,15.10,3.85
HydroB,Hydropower,2022-03-01,2.90,15.20,3.90
HydroB,Hydropower,2022-04-01,2.95,15.30,3.95
HydroB,Hydropower,2022-05-01,3.00,15.40,4.00
HydroB,Hydropower,2022-06-01,3.05,15.50,4.05
HydroB,Hydropower,2022-07-01,3.10,15.60,4.10
HydroB,Hydropower,2022-08-01,3.15,15.70,4.15
HydroB,Hydropower,2022-09-01,3.20,15.80,4.20
HydroB,Hydropower,2022-10-01,3.25,15.90,4.25
HydroB,Hydropower,2022-11-01,3.30,16.00,4.30
HydroB,Hydropower,2022-12-01,3.35,16.10,4.35
HydroB,Hydropower,2023-01-01,3.40,16.20,4.40
HydroB,Hydropower,2023-02-01,3.45,16.30,4.45
HydroB,Hydropower,2023-03-01,3.50,16.40,4.50
HydroB,Hydropower,2023-04-01,3.55,16.50,4.55
HydroB,Hydropower,2023-05-01,3.60,16.60,4.60
HydroB,Hydropower,2023-06-01,3.65,16.70,4.65
HydroB,Hydropower,2023-07-01,3.70,16.80,4.70
HydroB,Hydropower,2023-08-01,3.75,16.90,4.75
HydroB,Hydropower,2023-09-01,3.80,17.00,4.80
HydroB,Hydropower,2023-10-01,3.85,17.10,4.85
HydroB,Hydropower,2023-11-01,3.90,17.20,4.90
HydroB,Hydropower,2023-12-01,3.95,17.30,4.95
HydroB,Hydropower,2024-01-01,4.00,17.40,5.00
HydroB,Hydropower,2024-02-01,4.05,17.50,5.05
HydroB,Hydropower,2024-03-01,4.10,17.60,5.10
HydroB,Hydropower,2024-04-01,4.15,17.70,5.15
HydroB,Hydropower,2024-05-01,4.20,17.80,5.20
HydroB,Hydropower,2024-06-01,4.25,17.90,5.25
HydroB,Hydropower,2024-07-01,4.30,18.00,5.30
HydroB,Hydropower,2024-08-01,4.35,18.10,5.35
